Study,Baseline Weight,Baseline SD,Baseline CI,Weight Change,Weight Change SD,Weight Change CI,Baseline BMI,Baseline BMI SD,Baseline BMI CI,BMI Change,BMI Change SD,BMI Change CI,Baseline LDL,Baseline LDL SD,Baseline LDL CI,Endpoint LDL,LDL Endpoint SD,LDL Endpoint CI,Change in LDL-C,Change in LDL SD,Change in LDL CI,Baseline TG,Baseline TG SD,Baseline TG CI,Endpoint TG,Endpoint TG SD,Endpoint TG CI,Change in TG,Change in TG SD,Change in TG CI,Baseline HOMA-IR,Baseline HOMA-IR SD,Baseline HOMA-IR CI,Endpoint HOMA-IR,Endpoint HOMA-IR SD,Endpoint HOMA-IR CI,Baseline SBP,Baseline SBP SD,Baseline SBP CI,Endpoint SBP,Endpoint SBP SD,Endpoint SBP CI,change in SBP,change in SBP CI,Baseline DBP,Baseline DBP SD,Baseline DBP CI,change in DBP,change in DBP CI,Endpoint DBP,Endpoint DBP SD,Endpoint DBP CI,n,Time,Inter CI,Inter SD,Notes,Use,Percent Male,Normal weight,Link
Saslow2014,100.1,26.4,-,-5.5,-,-,36.2,8.2,-,-1.9,-,-,89.2,25.8,-,87.1,33.6,-,-2.1,-,-,123.6,61.3,-,101.3,39.9,-,-22.3,-0.4,-,1.7,1.3,-,1.3,0.6,-,130.7,10.5,-,136,9.8,-,-,-,76.3,6.8,-,-,-,78.9,6.5,-,16,3m,,21,HOMA2-IR rather than HOMA-IR,x,0.437,No,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981696/
Saslow2017a,99.9,-,11.5,-6.1,-,-,35.9,-,3.4,-2.2,-,-,88.7,-,12.4,97.9,-,12.5,9.2,-,-,102.6,-,20.8,86.2,-,17.6,,,,1,-,0.3,1.2,-,0.4,127.1,-,5.1,130.7,-,5,-,-,77.1,-,3.1,-,-,77.1,-,3.1,16,6m,,,HOMA2-IR rather than HOMA-IR,,,No,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5865541/
Saslow2017,99.9,-,11.5,-7.9,-,-,35.9,-,3.4,-2.6,-,-,88.7,-,12.4,95.6,-,13.3,6.9,-,-,102.6,-,20.8,92.7,-,19.1,,,,1,-,0.3,1,-,0.3,127.1,-,5.1,130.3,-,5.1,-,-,77.1,-,3.1,-,-,75.6,-,3.1,16,12m,,,HOMA2-IR rather than HOMA-IR,x,0.11,No,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5865541/
Saslow2017b,109.7,24.9,-,-8.5,-,3.4,-,-,-,-,-,-,96.9,30.4,-,-,-,-,-0.8,-,10.1,174.1,79.4,-,-,-,-,-35.5,-,30.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,16w,10.1,,no BMI,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5329646/
Saslow2017b,109.7,24.9,-,-12.7,-,3.4,-,-,-,-,-,-,96.9,30.4,-,-,-,-,-0.3,-,10.5,174.1,79.4,-,-,-,-,-60.1,-,31.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,32w,10.5,,no BMI,x,0.5,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5329646/
Goday2016,91.5,11.4,-,-14.7,-,-,33.3,1.5,0.4,-5.4,-,-,112.7,33.6,-,110.6,38.4,-,-2.1,-,-,150.5,54.4,-,114.6,57.2,-,-35.9,-,-,6.9,4.4,-,3.5,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,4m,,,HOMA Index rather than HOMA-IR,x,0.33,No,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5048014/
Tay2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Access,,,,
Westman2008,108.4,-,20.5,-8.3,-,-,37.8,-,6.7,-3.4,-,-,105.8,-,25.7,-,-,-,-,-,-,210.4,-,10.3,-,-,-,-,-,-,-,-,-,-,-,-,144.4,-,15,-,-,-,-,-,83.9,-,10.3,-,-,-,-,-,21,12w,,,completers only,,,,ncbi.nlm.nih.gov/pmc/articles/PMC2633336/
Westman2008,108.4,-,20.5,-11.1,-,-,37.8,-,6.7,-3.9,-,-,105.8,-,25.7,107.1,-,26.3,1.3,-,-,210.4,-,10.3,142.9,-,76.9,-67.5,-,-,-,-,-,-,-,-,144.4,-,15,127.8,-,13.4,-,-,83.9,-,10.3,-,-,75.8,-,10.9,21,24w,,,completers only,x,0.333,No,ncbi.nlm.nih.gov/pmc/articles/PMC2633336/
Jabbek2010-5wks,95.6,-,9.1,-,-,-,32.9,-,4.5,-,-,-,127.611,-,34.803,139.212,-,46.404,-,-,-,106.284,-,70.856,88.57,-,26.571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5w,,,,x,0,No(BMI ≥ 25 kg*m-2),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2845587/
